ID,Data,Produto,Categoria,Quantidade,Preço
65,2023-12-01,Tênis,Calçados,9.0,353.73
66,2023-12-12,Calça,Invalido,2.0,609.08
67,2023-04-29,Notebook,Eletrônicos,6.0,1684.87
68,2023-09-06,Sandália,Calçados,8.0,703.22
69,2023-12-01,Sandália,Calçados,10.0,349.07
70,2023-10-18,Calça,Vestuário,-1.0,1576.31
71,2023-01-20,,Vestuário,10.0,1834.47
72,2023-07-19,Smartphone,Eletrônicos,3.0,1131.74
73,2023-12-24,Calça,Vestuário,8.0,1050.88
74,2023-12-28,Sandália,Calçados,3.0,371.11
75,2023-12-06,Camisa,Vestuário,4.0,1763.79
76,2023-12-13,Fogão,Eletrodomésticos,3.0,1324.58
77,2023-05-21,Camisa,Vestuário,3.0,439.48
78,2023-05-02,Tênis,Calçados,3.0,393.18
79,2023-09-24,Sandália,Calçados,4.0,1564.04
80,2023-06-12,Notebook,Eletrônicos,-1.0,1273.23
81,2023-07-17,Camisa,Vestuário,1.0,1615.68
82,2023-06-20,Fogão,Eletrodomésticos,1.0,257.23
83,2023-03-11,Sandália,Calçados,2.0,
84,2023-11-25,Geladeira,Eletrodomésticos,5.0,475.02
85,2023-06-13,Smartphone,Eletrônicos,4.0,1955.66
86,2023-11-04,Sandália,Calçados,4.0,1035.07
87,2023-10-28,Fogão,Eletrodomésticos,10.0,
88,2023-06-02,Notebook,Eletrônicos,8.0,1038.65
89,2023-09-08,Smartphone,Eletrônicos,,1656.95
90,2023-12-22,,Eletrônicos,8.0,740.33
91,2023-12-04,,Eletrônicos,,1906.72
92,2023-02-12,Fogão,Eletrodomésticos,4.0,590.36
93,2023-08-24,Calça,Vestuário,2.0,1042.81
94,2023-10-08,Calça,Vestuário,7.0,1419.88
95,2023-05-23,Smartphone,Eletrônicos,3.0,1859.27
96,2023-10-06,Calça,Vestuário,,1699.86
97,2023-04-13,Geladeira,Eletrodomésticos,3.0,160.29
98,2023-11-20,Smartphone,Invalido,5.0,414.35
99,2023-04-15,Tênis,Calçados,2.0,599.19
100,2023-06-13,Smartphone,Eletrônicos,3.0,150.77
84,2023-11-25,Geladeira,Eletrodomésticos,5.0,475.02
54,2023-10-29,Smartphone,Eletrônicos,4.0,1894.31
71,2023-01-20,,Vestuário,10.0,1834.47
46,2023-11-24,Tênis,Calçados,2.0,301.01
45,2023-04-07,Sandália,Calçados,8.0,869.17
